Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
American Express,American Express,378578109756121,Naomi U Todd,4332,06/2012,06/2029,19,1511,123400
Discover,Discover,6011440018497463,Oscar O Brady,359,10/2012,10/2024,15,9602,82100
Japan Credit Bureau,JCB,3588926338742182,Harris A Ball,520,08/2016,08/2024,24,0702,53700
Visa,Wells Fargo,4366628118854072,Joe N Massey,235,05/2011,05/2019,4,3159,108700
Master Card,GE Capital,5470211948839173,Abe M Vasquez,795,12/2010,12/2030,18,2895,164900
Visa,Chase,4139858472644829,Joe Odom,821,07/2013,07/2033,13,9243,81400
Visa,Bank of America,4747843765351153,Delbert Merritt,494,02/2012,02/2019,25,2905,111900
Master Card,Capital One,5385439895822348,Cynthia Barlow,099,03/2017,03/2027,24,5675,193600
Visa,Chase,4263015635552310,Jack Y Romero,855,04/2013,04/2017,9,0477,130100
Discover,Discover,6011114005719482,Shannon U Martin,801,03/2010,03/2015,9,3608,144100
Japan Credit Bureau,JCB,3544807997072843,Raymundo Woods,374,08/2010,08/2014,22,0976,96400
Master Card,USAA,5129740665510950,Stacy F Moody,410,03/2011,03/2017,25,0468,149600
Visa,Chase,4926464144833887,Deandre Silva,828,04/2015,04/2032,10,1578,10300
Visa,GE Capital,4050314529124881,Wanda A Villarreal,200,07/2011,07/2020,27,6361,165600
American Express,American Express,345143718692413,Eleanor E Lott,9275,01/2012,01/2025,17,7045,143200
Visa,Barclays,4158333201695282,Veronica G Donovan,742,06/2010,06/2025,8,1775,103900
Japan Credit Bureau,JCB,3557712848696051,Tyson X Fletcher,115,07/2012,07/2017,21,1614,101500
Discover,Discover,6509042780688490,Nancy B James,081,02/2017,02/2031,11,6881,77600
Discover,Discover,6011999546705192,Royce Nicholson,686,08/2011,08/2023,28,6102,88200
American Express,American Express,370890461739639,Vanessa Glass,1506,06/2010,06/2017,13,5249,132500
Visa,Chase,4529322498800491,Isabella Richmond,128,01/2014,01/2019,7,1752,92300
Master Card,Chase,5385820293252149,Tiffany Spence,697,03/2007,03/2021,26,7290,113000
Master Card,Chase,5475676257222358,Arron C Reyes,128,08/2017,08/2037,10,4907,195400
Visa,Chase,4720528547409665,Nicholas Swanson,190,09/2009,09/2025,17,1239,168200
Discover,Discover,6555813517435600,Elaine Hurst,135,11/2012,11/2026,11,9068,101000
Visa,Chase,4301771965720513,Derek P Castaneda,906,10/2017,10/2032,27,1985,167000
Japan Credit Bureau,JCB,3565892707550167,Kaitlin Sawyer,663,10/2014,10/2022,7,3392,31000
Discover,Discover,6011757026079383,Mildred P Dillon,024,08/2016,08/2021,10,0573,146400
Discover,Discover,6011147149191036,Carson J Atkins,768,06/2015,06/2029,11,9202,48400
Visa,USAA,4448589717823151,Tracy K Curry,384,07/2012,07/2025,14,9672,156300
Diners Club International,Diners Club,30219939071783,Charlie Y Pollard,832,12/2011,12/2031,3,8568,46300
Discover,Discover,6011616898872715,Floyd Harris,166,09/2013,09/2014,16,2840,197900
Discover,Discover,6011382579073798,Millicent Q Sellers,861,07/2012,07/2020,18,1515,29000
Japan Credit Bureau,JCB,3558768337574604,Gerald Q Burke,924,05/2013,05/2017,9,7891,46300
American Express,USAA,348671918227728,Verna Juarez,8345,03/2015,03/2019,7,0935,167300
Master Card,Chase,5369411698078527,Frank K Mitchell,686,02/2008,02/2027,17,7168,129200
Diners Club International,Diners Club,30964572067248,Grant M Glover,981,01/2017,01/2031,5,6746,160300
Visa,Chase,4982323103553830,Martin T Solis,821,08/2014,08/2028,3,0054,115100
Diners Club International,Diners Club,30196656381571,Xavier N Kidd,158,11/2011,11/2028,3,3383,141900
Japan Credit Bureau,JCB,3531885056984335,Gail K Lloyd,777,05/2010,05/2011,18,5509,90700
Visa,Chase,4988557945041553,Harrison S Hopkins,331,08/2012,08/2027,14,7164,97600
Japan Credit Bureau,JCB,3532906818938945,Paula K Huber,307,03/2009,03/2010,3,4973,124900
Visa,Chase,4871478235842990,Alexandria Griffin,667,02/2016,02/2021,15,2603,124900
Diners Club International,Diners Club,36811796879821,Kristen L Lynch,680,12/2011,12/2018,9,8418,152200
American Express,USAA,373015970610884,Liza P Bishop,9995,01/2008,01/2027,20,9231,118900
Diners Club International,Diners Club,30975415615365,Julia Rivera,082,10/2017,10/2028,22,8891,61500
Master Card,Capital One,5223797152084555,Brad H Taylor,273,03/2013,03/2033,18,2990,170700
American Express,USAA,376384907465136,Grace P Henry,6688,12/2010,12/2023,20,3334,115400
American Express,U.S. Bancorp,346916498207349,Dena N Chapman,2319,11/2008,11/2011,24,8753,165300
Discover,Discover,6011378855997981,Peter U Griffin,424,05/2009,05/2018,27,0014,161300
Discover,Discover,6011144891038648,Lindsey Q Maldonado,688,12/2007,12/2018,19,3050,152300
Visa,Bank of America,4721166151773404,Gregory O Weber,424,05/2012,05/2019,7,5363,135200
Visa,Wells Fargo,4282165028603035,Yvette B Colon,050,11/2014,11/2033,11,8539,69500
Japan Credit Bureau,JCB,3547762244457890,Linda M Larson,264,11/2014,11/2023,25,5543,34900
Diners Club International,Diners Club,30956737632494,Trent Mcbride,057,06/2010,06/2021,9,4308,109400
Discover,Discover,6011376540400668,Stephanie L Sawyer,279,07/2014,07/2031,11,0557,56900
Master Card,Chase,5177825555744180,Robin Y Wilkinson,852,10/2010,10/2023,6,8554,22500
Visa,Chase,4743272573628848,Jacqueline Hess,760,04/2014,04/2029,27,1203,119400
Discover,Discover,6011020951233040,Joyce Q Fletcher,816,12/2016,12/2029,26,2711,73000
Japan Credit Bureau,JCB,3561811174348685,Daniel S Wiggins,163,04/2009,04/2026,3,1698,132000
Visa,Bank of America,4336869775445872,Shane I Holder,812,06/2016,06/2030,12,8580,136500
Discover,Discover,6537760232421600,Heather T Foster,558,08/2013,08/2030,11,3277,137200
Master Card,Chase,5481508027341048,Aimee T Flowers,919,12/2011,12/2027,16,2537,127800
Discover,Discover,6011212437432227,Clara Ross,115,07/2011,07/2015,22,6578,71100
Master Card,Citibank,5147533948629699,Kelli B Kirk,687,04/2011,04/2019,1,3368,56500
Discover,Discover,6011938070625756,Joanne Massey,383,01/2017,01/2021,5,3135,72800
Visa,First National,4561274193589847,Elsie P Richardson,423,10/2008,10/2010,19,2801,141700
Diners Club International,Diners Club,30994258176765,Charlotte Jensen,616,09/2009,09/2026,9,8778,44500
Discover,Discover,6463138662067417,Ruben B Navarro,034,05/2008,05/2026,6,0296,138600
Visa,Chase,4273609588271593,Chad P Cardenas,225,07/2011,07/2025,14,4265,57300
Master Card,Citibank,5411567642988166,Jamie Graves,672,02/2010,02/2026,10,6159,113600
Diners Club International,Diners Club,30227360516929,Victoria Walton,617,07/2017,07/2020,18,0952,20000
Visa,Citibank,4934978110184025,Mayra Reilly,173,07/2008,07/2010,10,9527,16000
Master Card,Bank of America,5379034321942535,Arthur David,821,02/2007,02/2018,2,1809,109900
Master Card,U.S. Bancorp,5232638643818152,Theron G Hendrix,544,11/2017,11/2034,26,0317,188000
Diners Club International,Diners Club,30248162214505,Jimmy Hawkins,595,04/2016,04/2021,7,0609,98500
Diners Club International,Diners Club,39150729322071,Jeri G Clements,172,05/2007,05/2017,27,6662,63400
Discover,Discover,6011550786355543,Vincent B Cummings,782,11/2011,11/2017,3,4587,116900
Japan Credit Bureau,JCB,3547912532740768,Emil S Reilly,783,09/2016,09/2033,12,1936,147300
Visa,GE Capital,4520644008197780,Ralph S Grant,344,02/2010,02/2026,4,8392,136800
Japan Credit Bureau,JCB,3545591988504928,Marlin Blanchard,647,09/2014,09/2023,5,7897,56800
Visa,Wells Fargo,4521068739714409,Tim N Glenn,412,07/2008,07/2015,3,9634,48900
Japan Credit Bureau,JCB,3553016158383563,Pamela F Hogan,549,12/2013,12/2028,23,3037,92000
Japan Credit Bureau,JCB,3552962304498865,Tom P Guerrero,780,10/2011,10/2013,26,8858,178400
Master Card,Barclays,5292506132863525,Forest Talley,243,10/2012,10/2022,4,7682,163300
Discover,Discover,6011007943694991,Sue Mcpherson,449,06/2013,06/2022,10,9229,34600
Japan Credit Bureau,JCB,3559090696261635,Nona A Hall,049,10/2012,10/2029,27,9912,27500
American Express,American Express,372712403063308,Phillip S Wiley,6324,01/2008,01/2011,8,3765,170800
Visa,Barclays,4521721660319537,Louie Hale,605,05/2010,05/2029,28,8873,76100
Discover,Discover,6011109154039054,Eleanor French,271,12/2010,12/2022,6,0424,102900
Discover,Discover,6011365073087711,Adolph E Flowers,423,08/2015,08/2018,6,4522,69500
Japan Credit Bureau,JCB,3575225100769324,Cindy I Walton,278,08/2007,08/2012,13,7846,111900
American Express,American Express,370764762543141,Cary Montoya,2535,07/2009,07/2029,27,5391,99300
Master Card,Bank of America,5320345586869969,Julia E Parker,209,03/2015,03/2018,1,7080,161800
Master Card,Barclays,5288958120555231,Erma T Schneider,827,12/2017,12/2036,28,8412,125900
Master Card,Chase,5127519902628557,Ramon Justice,512,06/2013,06/2027,11,7096,52100
Japan Credit Bureau,JCB,3548109996194934,Maurice Zimmerman,572,04/2010,04/2028,13,7381,187900
Japan Credit Bureau,JCB,3532155605493363,Carmen Church,242,05/2011,05/2014,5,4397,24900
Diners Club International,Diners Club,36834051635878,Clifton E Strong,709,11/2007,11/2016,28,9112,196800
Visa,Citibank,4424021067858064,Jennifer W Kelly,809,05/2013,05/2030,15,9550,145600
Japan Credit Bureau,JCB,3549775120749089,Brad Buckley,246,09/2011,09/2013,26,8859,177100
Japan Credit Bureau,JCB,3565564569192095,Thelma Wilkins,145,07/2008,07/2027,4,5940,56600
Diners Club International,Diners Club,30237230127062,Elena A Mooney,953,10/2016,10/2017,1,9044,151800
Master Card,USAA,5376261903749227,Chris W Herrera,568,02/2010,02/2012,17,8565,177500
Visa,Bank of America,4702219823479299,Colin Hickman,312,03/2013,03/2020,15,7879,57800
Master Card,Chase,5318906985241037,Darlene O Berg,526,06/2013,06/2017,9,3179,152700
Discover,Discover,6011177150500684,Morgan G Becker,924,05/2016,05/2022,22,6929,125200
American Express,Bank of America,342498891441423,Nicole D Trujillo,5212,03/2016,03/2032,24,8604,89600
Visa,Wells Fargo,4439426555066117,Milagros Brooks,065,01/2007,01/2010,8,9183,111200
Visa,Barclays,4134586640018866,Annie M Wells,336,11/2008,11/2022,13,7513,100200
Diners Club International,Diners Club,30398969337098,Les I Pugh,886,08/2008,08/2010,10,1694,197900
Japan Credit Bureau,JCB,3569373364059277,Lynn Y Mckenzie,239,07/2017,07/2026,10,3510,174100
Discover,Discover,6011502125114156,Arnulfo P Richards,876,05/2007,05/2015,10,9357,138600
American Express,American Express,345260046483644,Christopher Dorsey,4049,04/2013,04/2032,26,4804,173900
Diners Club International,Diners Club,30997187813408,Blanche H Padilla,750,04/2011,04/2022,9,8877,127100
Master Card,Capital One,5218306081073858,Derrick O Manning,332,08/2010,08/2014,22,7297,172700
Japan Credit Bureau,JCB,3576297460125339,Lea Dixon,894,09/2014,09/2021,17,4493,70700
Diners Club International,Diners Club,30064880029871,Connie J Witt,260,03/2009,03/2023,24,2409,70600
Japan Credit Bureau,JCB,3579172870895705,Don E Barrera,012,08/2008,08/2026,21,9532,74500
Diners Club International,Diners Club,30286822378443,Melvin V Sanford,097,11/2008,11/2024,1,7424,135700
Diners Club International,Diners Club,30029650993275,Parker Dale,471,12/2014,12/2027,14,0336,54100
American Express,U.S. Bancorp,345649656280649,Willie A Dunlap,8070,06/2012,06/2029,19,8709,170900
Discover,Discover,6464465139214358,Kris G Glenn,236,06/2012,06/2017,26,1639,50000
Discover,Discover,6011494423279081,Monica N Brooks,147,06/2012,06/2014,20,0578,187000
Master Card,Chase,5187038692606639,Ilene Cannon,942,05/2012,05/2015,4,4950,13800
Japan Credit Bureau,JCB,3580169478384022,Zachary S Bernard,600,05/2009,05/2020,27,5144,188400
Japan Credit Bureau,JCB,3560314440276955,Kirk Sanford,330,11/2016,11/2025,23,4007,165100
Diners Club International,Diners Club,30056495855047,Sam Z Shaw,137,10/2013,10/2029,5,0956,147000
American Express,American Express,375124548530612,Keven Z Mullins,7608,08/2007,08/2026,16,3867,25300
Discover,Discover,6596808919636145,Carolyn M Manning,991,03/2016,03/2025,8,0739,146200
American Express,American Express,341782897997749,Helene X Stevens,2699,02/2016,02/2027,4,2682,172000
Master Card,Bank of America,5486238526910557,Lewis F Langley,747,11/2012,11/2024,17,1047,153400
Discover,Discover,6011549186947206,Arthur Moon,168,12/2009,12/2029,12,7747,162900
Japan Credit Bureau,JCB,3544483888984981,Bonnie Diaz,381,11/2010,11/2018,18,9141,71300
American Express,U.S. Bancorp,341240671489136,Desiree Y Floyd,7143,02/2016,02/2023,15,9852,191200
Master Card,Wells Fargo,5471270461511295,Sue M Rios,877,09/2008,09/2010,8,4911,188900
Visa,Chase,4588847924589613,Ricky Trevino,776,01/2015,01/2027,20,2532,15000
Discover,Discover,6558661712161209,Clara W Miller,749,01/2014,01/2023,23,8145,116700
Master Card,Citibank,5447925714842190,Bridget V Greene,975,05/2015,05/2016,2,5253,156400
Diners Club International,Diners Club,30208285006949,Earl Z Shepard,405,09/2012,09/2025,14,3964,36400
American Express,Bank of America,342770067856422,Karyn Campbell,0240,01/2013,01/2023,24,2107,149400
American Express,U.S. Bancorp,372537074986614,Jeff Anderson,9579,03/2010,03/2022,10,1730,159800
Diners Club International,Diners Club,30343704050887,Dionne P Watson,350,01/2007,01/2017,24,0078,67000
Master Card,Bank of America,5446851043467379,Florence A Palmer,605,08/2014,08/2030,5,5253,43000
Visa,Cabela’s WFB,4750034941680012,Angelique S Thornton,744,02/2011,02/2030,2,3447,12400
Visa,Chase,4456574513508981,Travis Albert,711,04/2012,04/2024,11,4585,19600
Japan Credit Bureau,JCB,3555148238705354,Diego Rutledge,680,08/2014,08/2019,2,3380,97400
Visa,PNC,4742910991960381,Danielle Estrada,187,10/2010,10/2020,3,2243,29200
Discover,Discover,6011192428791072,Cedric F Bennett,018,06/2012,06/2015,27,4285,59200
American Express,American Express,378724513099001,Bernice P Wells,9585,05/2016,05/2018,26,9146,101200
Visa,U.S. Bancorp,4921444698322292,Sean Patrick,343,03/2007,03/2016,2,0981,185000
American Express,American Express,340715708171311,Teresa Cleveland,8300,05/2011,05/2014,11,8098,147600
Visa,Citibank,4184486442979853,Madeleine K Mcmillan,347,11/2009,11/2028,8,3257,128600
Japan Credit Bureau,JCB,3584737221595734,Juan T Mcintyre,055,07/2008,07/2027,14,5122,186800
American Express,Bank of America,373872575304291,Vonda Jacobs,4225,01/2010,01/2014,28,6873,44300
Visa,PNC,4008940065953995,Elaine H Puckett,173,10/2014,10/2017,2,1457,78200
Master Card,Bank of America,5298845415933140,Brooke Vincent,994,11/2017,11/2033,3,2567,147400
Diners Club International,Diners Club,30959994692029,Rebecca P Valdez,192,05/2012,05/2032,21,1530,175500
Diners Club International,Diners Club,30502271769126,Colby S Blanchard,070,10/2015,10/2035,10,7134,180300
Japan Credit Bureau,JCB,3548882192566994,Lillian Gordon,851,01/2007,01/2022,26,4721,171600
Discover,Discover,6011270894746323,Jodi X Kelley,370,11/2013,11/2028,2,3138,121200
Visa,Chase,4138316098548107,Samuel H Lopez,525,02/2007,02/2018,17,1225,109800
Master Card,Chase,5149325838194050,Bret Robbins,196,02/2014,02/2029,28,6323,97200
Visa,Chase,4311072776187176,Walter G Massey,970,04/2007,04/2024,20,4832,168900
Diners Club International,Diners Club,36641639669513,Young Edwards,217,11/2007,11/2009,26,2271,173200
Diners Club International,Diners Club,30376399415783,Jeanette Cannon,570,09/2007,09/2008,12,7930,59900
Visa,Chase,4675539018854599,Patrick Cantu,173,03/2017,03/2029,8,6394,166400
Visa,GE Capital,4479155106831981,Joyce Q Parks,134,09/2017,09/2023,15,6553,60200
Japan Credit Bureau,JCB,3559740042176263,May W Cain,950,05/2014,05/2033,15,3799,59900
American Express,American Express,345065114389825,Mark M Barry,1141,08/2008,08/2023,18,5770,55300
Visa,Chase,4811180480349357,Shirley Farley,972,05/2017,05/2024,19,8101,121300
Diners Club International,Diners Club,30569756365399,Vincent L Walker,588,09/2017,09/2028,12,8252,39900
Diners Club International,Diners Club,30959741583414,Mildred A Estes,892,01/2008,01/2010,22,0746,65100
American Express,American Express,373340072824575,Nancy Merrill,3052,12/2011,12/2013,11,1301,64100
Visa,Chase,4081566512143656,Louise Bird,096,02/2011,02/2029,9,4900,69400
Visa,PNC,4351251339171429,Jerome Walsh,312,11/2010,11/2012,9,0181,129700
Master Card,Chase,5303416906454278,Jenna J Mcneil,110,04/2012,04/2017,27,0479,40700
Master Card,Bank of America,5489137887081643,Louis X Silva,243,05/2013,05/2029,15,8041,19600
Master Card,Capital One,5445608660628274,Kristen A Morrow,709,06/2013,06/2019,28,9361,32400
Visa,U.S. Bancorp,4324313701375980,Margaret P Strong,728,05/2011,05/2024,4,5258,38800
Visa,Chase,4278602876053281,Stefan F Phillips,190,12/2014,12/2024,10,2370,15700
Visa,Chase,4884817532250867,Marion U Odom,396,03/2017,03/2031,3,3502,84900
Discover,Discover,6011096364869331,Sasha Q Reeves,442,07/2017,07/2024,10,2070,103600
Diners Club International,Diners Club,38737620962970,Ray V Norman,684,12/2011,12/2017,6,2348,22400
Master Card,Chase,5404604628895179,Ashley Burns,175,06/2007,06/2025,2,7948,91800
Japan Credit Bureau,JCB,3579183493360019,Renee Sherman,780,12/2007,12/2015,17,8724,14000
Master Card,Capital One,5174060060079228,Carmen Duran,812,11/2013,11/2022,10,3038,82100
Japan Credit Bureau,JCB,3577864950842951,Larry Simmons,220,08/2013,08/2015,25,2045,76600
Diners Club International,Diners Club,30296188248957,Margo T Richards,429,11/2008,11/2018,2,3556,197200
American Express,American Express,345464891767222,Donna Riley,6047,06/2016,06/2026,24,0301,81600
Japan Credit Bureau,JCB,3541404704755143,Nannie Stephenson,113,12/2012,12/2022,2,5605,106100
Master Card,Bank of America,5358127276042973,Esther V Wade,314,08/2013,08/2027,12,4953,131900
Japan Credit Bureau,JCB,3535401586999839,Daniel L Wilkerson,772,02/2007,02/2014,15,5508,77600
Visa,Cabela’s WFB,4775561434437600,Tom H Rocha,653,12/2017,12/2037,3,4916,159500
Diners Club International,Diners Club,30554244281283,Penelope J Petty,051,06/2014,06/2023,13,2847,192000
Discover,Discover,6011622174885991,Patrick E Hampton,543,07/2009,07/2015,7,2466,103000
Japan Credit Bureau,JCB,3536030512782123,Corrine O Wolf,764,06/2010,06/2012,15,7746,95300
Visa,U.S. Bancorp,4562000856436730,Marvin Hoffman,635,04/2016,04/2032,3,6370,170900
Master Card,Bank of America,5291936202205714,Robbie N Mosley,938,01/2015,01/2027,19,6485,12100
Discover,Discover,6011168347940511,Rodney P Galloway,008,07/2011,07/2031,3,0052,177500
Japan Credit Bureau,JCB,3569883504217999,Brad Brennan,764,07/2010,07/2020,19,1993,174600
Discover,Discover,6011930972311007,Elsie J Hansen,395,10/2015,10/2028,23,5116,22000
Diners Club International,Diners Club,30120433730256,Bryan V Rivers,156,12/2012,12/2024,15,8285,49400
American Express,American Express,376243491028280,Bruce Mejia,8617,02/2008,02/2013,26,3031,10900
Master Card,Capital One,5337874211793048,Marlene Delaney,430,01/2008,01/2019,8,0413,125600
Master Card,GE Capital,5166836674661828,Troy Pace,563,05/2015,05/2017,28,0289,151600
Master Card,Capital One,5193118224991907,Janell W Barron,297,11/2016,11/2020,5,3973,139800
Discover,Discover,6562999062671375,Jesus Castillo,791,10/2009,10/2020,17,4858,60000
Diners Club International,Diners Club,39637713756629,Arlene X Osborne,243,05/2011,05/2019,20,0765,15700
Visa,Chase,4193539814828196,Beverly V Garner,002,02/2014,02/2016,12,4233,37300
Master Card,Citibank,5213817098453698,Billie Ellison,991,05/2011,05/2031,28,9632,152000
Discover,Discover,6553700578104237,Zachary H Patterson,561,05/2014,05/2021,6,7903,112600
Discover,Discover,6011623165099907,Alisha O Powell,641,11/2012,11/2031,27,4062,17600
Visa,Chase,4438321101113607,Katherine G Mooney,740,11/2014,11/2022,26,9541,170200
Diners Club International,Diners Club,30070672851315,Anthony Prince,217,09/2012,09/2022,27,0614,145100
Diners Club International,Diners Club,30590237763457,Regina K Haynes,998,03/2016,03/2027,6,6737,146100
Diners Club International,Diners Club,30455623132792,Clifton U Burgess,549,02/2017,02/2029,13,4722,115900
Japan Credit Bureau,JCB,3565274963256104,Edna V Conner,964,06/2009,06/2021,2,8580,86000
Master Card,USAA,5190200002162621,Louisa Z Shelton,612,08/2010,08/2015,26,2945,193100
Master Card,Bank of America,5364100353616342,Cynthia Rios,057,12/2010,12/2024,11,3905,93100
Master Card,USAA,5244893852843526,Eleanor W Bryant,386,04/2012,04/2029,3,3229,50200
Master Card,Capital One,5258979400617786,Louise B Ramsey,343,10/2013,10/2033,25,5521,55100
Master Card,Citibank,5466701556562345,Lorraine B Andrews,633,05/2014,05/2030,11,7232,67200
Japan Credit Bureau,JCB,3569992085784291,Christopher A Peterson,145,02/2015,02/2033,13,8215,33600
Visa,Bank of America,4304246666111301,Teddy V Mcconnell,272,12/2009,12/2026,20,1289,66600
American Express,U.S. Bancorp,346419304319481,Laurie B Carr,6872,04/2010,04/2015,24,0875,158600
Visa,PNC,4341590208120808,Caitlin M Doyle,104,09/2009,09/2028,13,5067,106200
Japan Credit Bureau,JCB,3579007076085646,Craig Jensen,147,08/2008,08/2022,12,5514,56500
Visa,Chase,4439512103909112,James W Merrill,872,07/2013,07/2023,12,9482,196300
Discover,Discover,6227278733198044,Henry Q Spence,438,11/2008,11/2022,5,8524,172600
Diners Club International,Diners Club,30900399680466,Rolando Q Simmons,881,10/2009,10/2015,3,7934,43000
Master Card,Bank of America,5382407316624661,Elizabeth O Knapp,273,10/2017,10/2025,21,1972,166600
Discover,Discover,6455187856423225,Shawn L Andrews,613,12/2013,12/2020,22,7425,151200
Discover,Discover,6455882346163767,Loretta X Gutierrez,530,06/2012,06/2023,10,5246,70200
Japan Credit Bureau,JCB,3570352114617714,Cameron B Ellis,560,10/2015,10/2017,14,8619,160500
American Express,Bank of America,344683956218034,Nicole Farley,2250,01/2009,01/2018,8,9863,50500
Diners Club International,Diners Club,30289568411071,Gabrielle K Gray,368,09/2007,09/2016,13,6420,28000
Japan Credit Bureau,JCB,3574563855994460,Jane X Phillips,601,09/2015,09/2027,23,2755,190800
Discover,Discover,6489838127315828,Morgan Browning,424,05/2009,05/2014,22,5109,22700
American Express,American Express,378217692602539,Lorraine D Smith,3099,10/2008,10/2015,23,5845,29800
Japan Credit Bureau,JCB,3546698768958288,Horacio E Strong,015,07/2008,07/2017,27,4618,109400
Master Card,Capital One,5449982089048869,Erica X Prince,421,04/2015,04/2033,2,2225,126100
Diners Club International,Diners Club,30956888965750,Tabitha S Bernard,124,01/2009,01/2022,28,7004,105700
Diners Club International,Diners Club,30253919505353,Jacqueline Pierce,161,08/2010,08/2018,15,1743,161300
American Express,American Express,376889266054909,Judith B Clark,3984,03/2012,03/2016,27,4672,142100
Master Card,Capital One,5377481132023777,Brittany G Buchanan,918,07/2011,07/2016,25,1325,125400
Visa,Chase,4084487332066323,Prince L Velazquez,449,10/2011,10/2024,9,4423,54100
Diners Club International,Diners Club,30964084608612,Tyler Mack,464,07/2009,07/2011,6,7828,144700
Diners Club International,Diners Club,36691405880653,Ignacio R Preston,157,02/2007,02/2009,4,3890,183200
American Express,American Express,342760243725971,Jane D Montoya,8782,08/2010,08/2011,26,3750,76200
Master Card,Bank of America,5463295207088605,Casey Y Benson,330,10/2016,10/2036,15,9408,26700
Visa,Chase,4255819760235132,Mario Z Bishop,941,08/2008,08/2021,25,8600,38500
Discover,Discover,6011284891862413,Lynda P Mcknight,287,10/2013,10/2022,13,6899,163900
American Express,American Express,347901471202961,Charlotte Harvey,6418,08/2007,08/2016,9,1250,54400
Visa,Chase,4795996555066067,Joshua B Fischer,721,02/2007,02/2022,18,9829,188300
Diners Club International,Diners Club,30352881076730,Brittany D Henson,172,12/2009,12/2021,23,1069,73000
Japan Credit Bureau,JCB,3580092458413555,Madeleine Beasley,490,08/2008,08/2014,6,0792,70600
Diners Club International,Diners Club,30219265437723,Pamela T Reeves,080,01/2007,01/2021,25,8165,160400
Diners Club International,Diners Club,30917028542917,Rosanna Parker,339,06/2012,06/2024,26,5795,59300
Diners Club International,Diners Club,30544766233945,Timothy Hess,279,07/2017,07/2032,15,5536,130600
Japan Credit Bureau,JCB,3530581425609866,Ruthie W Ayers,471,10/2009,10/2027,22,2794,173400
Diners Club International,Diners Club,30014805502593,Luis Y Burns,179,07/2007,07/2021,6,8453,23400
American Express,U.S. Bancorp,346296596307279,Stuart K Morton,3541,07/2016,07/2025,28,8557,194000
Diners Club International,Diners Club,30039151508290,Eric F Phelps,803,11/2010,11/2023,8,8875,33400
Visa,Citibank,4579864922119559,Herminia D Collier,028,11/2012,11/2023,13,0408,162000
Visa,Chase,4322940139592927,Doris Burns,247,03/2009,03/2027,8,5222,63300
American Express,American Express,340133193480553,Ernest K Parrish,6105,05/2016,05/2020,14,1913,104300
American Express,American Express,370208182412941,Norma C Hicks,7247,04/2011,04/2028,21,0311,69500
Discover,Discover,6224882140739234,Carrie C Cochran,421,02/2010,02/2018,14,4080,39700
Diners Club International,Diners Club,38599160071749,Lester W Mcbride,193,02/2013,02/2023,8,2763,139900
American Express,American Express,374510676897537,Antone Mcmahon,6736,11/2007,11/2024,16,6120,33100
Visa,Chase,4302235786846104,Randall Davidson,653,04/2013,04/2027,21,9707,45200
American Express,American Express,343884029810994,Summer G Heath,8392,03/2013,03/2025,10,2351,114200
American Express,American Express,374538046148828,Timothy C Velasquez,6228,09/2013,09/2026,13,1078,149500
Discover,Discover,6573980966928308,Delmar N Potter,432,01/2011,01/2023,24,4291,113300
Japan Credit Bureau,JCB,3569022573187227,Matthew X Conley,081,02/2010,02/2018,14,8339,95900
Visa,U.S. Bancorp,4837972682226924,Stacie Jordan,260,09/2008,09/2022,13,9512,86100
Master Card,USAA,5152586506480246,Fred T Compton,148,08/2013,08/2015,16,2916,99000
Diners Club International,Diners Club,30278108310307,Carlene Z Rowe,390,12/2012,12/2027,24,1311,145500
Diners Club International,Diners Club,30161746215585,Bobby I Quinn,976,06/2009,06/2012,28,2183,23800
American Express,American Express,347279559274461,Terrell Q Kelly,2275,11/2009,11/2020,22,5766,85600
Diners Club International,Diners Club,30577444733555,Rodney Decker,733,04/2009,04/2013,6,3297,38100
Japan Credit Bureau,JCB,3572602354525623,Sean House,912,02/2010,02/2011,4,5238,183100
Visa,Citibank,4752249335816745,Roberto F Brock,482,10/2016,10/2030,19,7692,13800
Master Card,Chase,5359409367304077,Isabelle J Hess,063,06/2015,06/2033,6,9877,45200
Diners Club International,Diners Club,30192427081392,Gloria H Moody,595,03/2014,03/2031,21,1552,38000
Japan Credit Bureau,JCB,3550097211114008,Lon L Warren,726,04/2010,04/2014,9,1207,24000
Japan Credit Bureau,JCB,3541269121997630,Victoria E Love,884,08/2013,08/2032,7,0078,65900
Discover,Discover,6599696053331442,Neil H Golden,337,06/2016,06/2033,19,4332,71600
Japan Credit Bureau,JCB,3569705090446080,Cheryl F Harrell,027,09/2017,09/2034,6,5848,28500
Visa,Chase,4804169549362047,Edna Q Schultz,207,05/2014,05/2029,20,7844,81200
Diners Club International,Diners Club,30280216793028,Martin Y Bates,809,03/2015,03/2019,24,4096,46000
Master Card,Bank of America,5118218633167974,Katina Y Contreras,924,04/2015,04/2034,20,2992,103800
American Express,American Express,346533186547348,William Y Boyd,2585,09/2007,09/2021,19,0221,61900
Master Card,USAA,5205851015144999,Ethel B Livingston,397,05/2012,05/2030,22,6164,19400
Master Card,Citibank,5311171117765232,Dan V Snider,826,03/2008,03/2009,14,7323,164100
Japan Credit Bureau,JCB,3566827591295171,Ora Mcmillan,310,09/2017,09/2022,13,1255,189200
